,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
MFM-223,MFM-223,910948,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MFM-223,breast
SW780,SW780,687457,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,SW780,urinary_tract
JVM-3,JVM-3,907270,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension,JVM-3,haematopoietic_and_lymphoid_tissue
ONS-76,ONS-76,909248,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent,ONS-76,central_nervous_system
NCI-H196,NCI-H196,1240186,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,NCI-H196,lung
SK-GT-2,SK-GT-2,1503364,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,SK-GT-2,esophagus
786-0,786-0,905947,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,786-0,kidney
EM-2,EM-2,906855,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,EM-2,haematopoietic_and_lymphoid_tissue
HCC2998,HCC2998,905971,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,HCC2998,large_intestine
SK-N-FI,SK-N-FI,688087,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-FI,autonomic_ganglia
JHH-4,JHH-4,1240158,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JHH-4,liver
OVISE,OVISE,1240198,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVISE,ovary
SCH,SCH,909711,Y,Y,Y,Y,Y,digestive_system,stomach,,MSS/MSI-L,R,Adherent,SCH,stomach
TC-YIK,TC-YIK,946357,Y,Y,Y,Y,Y,urogenital_system,cervix,,MSS/MSI-L,R,Suspension,TC-YIK,cervix
HeLa,HeLa,1298134,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,HeLa,cervix
42-MG-BA,42-MG-BA,687561,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,42-MG-BA,central_nervous_system
EFO-21,EFO-21,911905,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,EFO-21,ovary
KYSE-270,KYSE-270,907319,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-270,oesophagus
MV-4-11,MV-4-11,908156,Y,Y,Y,Y,Y,leukemia,leukemia,,MSS/MSI-L,D/F12,Suspension,MV-4-11,haematopoietic_and_lymphoid_tissue
MDA-MB-361,MDA-MB-361,908121,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-361,breast
NCI-H1838,NCI-H1838,687807,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1838,lung
SW756,SW756,724839,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,SW756,cervix
SNU-283,SNU-283,1659929,Y,Y,Y,Y,N,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,SNU-283,large_intestine
HMV-II,HMV-II,907058,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,HMV-II,skin
A375,A375,906793,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,A375,skin
451Lu,451Lu,1287706,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,451Lu,skin
KYSE-410,KYSE-410,753574,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-410,oesophagus
MZ1-PC,MZ1-PC,753595,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,MZ1-PC,pancreas
SH-4,SH-4,909713,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SH-4,skin
RC-K8,RC-K8,1330995,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,RC-K8,haematopoietic_and_lymphoid_tissue
NCI-H2023,NCI-H2023,1240187,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2023,lung
NUGC-4,NUGC-4,1298357,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,NUGC-4,stomach
A3-KAW,A3-KAW,910935,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,A3-KAW,haematopoietic_and_lymphoid_tissue
H2818,H2818,1290814,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2818,pleura
AM-38,AM-38,910933,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Semi-Adherent,AM-38,central_nervous_system
BB30-HNC,BB30-HNC,753531,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BB30-HNC,upper_aerodigestive_tract
KARPAS-231,KARPAS-231,1327774,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,KARPAS-231,haematopoietic_and_lymphoid_tissue
MOLT-4,MOLT-4,905958,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension,MOLT-4,haematopoietic_and_lymphoid_tissue
SUIT-2,SUIT-2,1240219,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,SUIT-2,pancreas
RL,RL,910861,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,RL,haematopoietic_and_lymphoid_tissue
NCI-H211,NCI-H211,1240189,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,NCI-H211,lung
HCC-366,HCC-366,1240144,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,,MSS/MSI-L,R,Adherent,HCC-366,lung
BONNA-12,BONNA-12,906695,Y,Y,Y,Y,N,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Suspension,BONNA-12,haematopoietic_and_lymphoid_tissue
M14,M14,905975,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,M14,haematopoietic_and_lymphoid_tissue
BE2-M17,BE2-M17,753616,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,BE2-M17,autonomic_ganglia
CL-11,CL-11,1290769,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,CL-11,large_intestine
KP-3,KP-3,1298219,Y,Y,Y,Y,Y,pancreas,pancreas,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,KP-3,pancreas
UACC-893,UACC-893,909778,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,UACC-893,breast
SK-NEP-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SK-NEP-1,bone
RT-112,RT-112,909704,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,RT-112,urinary_tract
NCI-H650,NCI-H650,722066,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H650,lung
RWPE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RWPE1,prostate
KMOE-2,KMOE-2,907280,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,KMOE-2,haematopoietic_and_lymphoid_tissue
HT-29,HT-29,905939,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,HT-29,large_intestine
BT-549,BT-549,905951,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,BT-549,breast
D-336MG,D-336MG,946369,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,D-336MG,central_nervous_system
LC-2-ad,LC-2-ad,907786,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,LC-2-ad,lung
WM278,WM278,1240226,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,WM278,skin
KNS-42,KNS-42,907282,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,KNS-42,central_nervous_system
PA-TU-8988T,PA-TU-8988T,1240201,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,PA-TU-8988T,pancreas
NCI-H841,NCI-H841,1240192,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H841,lung
ROS-50,ROS-50,1331025,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,ROS-50,haematopoietic_and_lymphoid_tissue
ECC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECC4,gastrointestinal_tract_(site_indeterminate)
AU565,AU565,910704,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,AU565,breast
CAS-1,CAS-1,910943,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,CAS-1,central_nervous_system
ECC12,ECC12,906849,Y,Y,Y,Y,Y,digestive_system,stomach,,MSS/MSI-L,R,Suspension,ECC12,stomach
L-363,L-363,924239,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,L-363,haematopoietic_and_lymphoid_tissue
ZR-75-30,ZR-75-30,909907,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,ZR-75-30,breast
HSC-4,HSC-4,907062,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HSC-4,upper_aerodigestive_tract
PF-382,PF-382,909260,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,PF-382,haematopoietic_and_lymphoid_tissue
NALM-6,NALM-6,908158,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSI-H,R,Suspension,NALM-6,haematopoietic_and_lymphoid_tissue
CHSA0011,CHSA0011,1290767,Y,Y,Y,N,Y,bone,chondrosarcoma,,,R,Adherent,CHSA0011,bone
PWR-1E,PWR-1E,1330993,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent,PWR-1E,prostate
NCI-H441,NCI-H441,908460,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H441,lung
COLO-678,COLO-678,910689,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Semi-Adherent,COLO-678,large_intestine
EKVX,EKVX,905970,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,EKVX,lung
LN-229,LN-229,1240169,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,LN-229,central_nervous_system
TOV-21G,TOV-21G,1240222,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent,TOV-21G,ovary
HN,HN,907059,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HN,upper_aerodigestive_tract
NCI-H1395,NCI-H1395,684681,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1395,lung
NB14,NB14,949178,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB14,autonomic_ganglia
KYAE-1,KYAE-1,1503368,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Suspension,KYAE-1,oesophagus
NCI-H748,NCI-H748,909194,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H748,lung
SW1088,SW1088,909745,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,SW1088,central_nervous_system
Capan-2,Capan-2,910915,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Capan-2,pancreas
HuP-T3,HuP-T3,907285,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,HuP-T3,pancreas
FADU,FADU,906863,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,FADU,upper_aerodigestive_tract
TGBC11TKB,TGBC11TKB,909770,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSI-H,D/F12,Adherent,TGBC11TKB,stomach
HT-1080,HT-1080,907064,Y,Y,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent,HT-1080,soft_tissue
NCI-H1755,NCI-H1755,908475,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1755,lung
no-11,no-11,908450,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,no-11,central_nervous_system
MHH-NB-11,MHH-NB-11,908135,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,MHH-NB-11,autonomic_ganglia
IST-MES1,IST-MES1,907173,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,D/F12,Adherent,IST-MES1,pleura
COR-L88,COR-L88,906808,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,COR-L88,lung
G-401,G-401,907299,Y,Y,Y,Y,Y,kidney,kidney,,MSS/MSI-L,R,Adherent,G-401,soft_tissue
SNB75,SNB75,905982,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,SNB75,central_nervous_system
NCI-H1793,NCI-H1793,908463,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1793,lung
OACM5-1,OACM5-1,1503363,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Semi-Adherent,OACM5-1,esophagus
MOLP-8,MOLP-8,1330950,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,MOLP-8,haematopoietic_and_lymphoid_tissue
HCT-116,HCT-116,905936,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,HCT-116,large_intestine
DAN-G,DAN-G,1290797,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,DAN-G,pancreas
HGC-27,HGC-27,907055,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,HGC-27,stomach
GI-1,GI-1,906871,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,GI-1,central_nervous_system
SW900,SW900,724879,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,SW900,lung
JURL-MK1,JURL-MK1,1327771,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,JURL-MK1,haematopoietic_and_lymphoid_tissue
RXF393,RXF393,905978,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,RXF393,kidney
NCI-H847,NCI-H847,1240193,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H847,lung
GA-10,GA-10,1303896,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,GA-10,haematopoietic_and_lymphoid_tissue
DOK,DOK,910936,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,DOK,upper_aerodigestive_tract
H9,H9,907043,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,H9,haematopoietic_and_lymphoid_tissue
MFH-ino,MFH-ino,925343,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,MFH-ino,soft_tissue
SK-HEP-1,SK-HEP-1,909719,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,SK-HEP-1,liver
JSC-1,JSC-1,1327769,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,JSC-1,haematopoietic_and_lymphoid_tissue
OSC-19,OSC-19,1298362,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,OSC-19,upper_aerodigestive_tract
SNU-423,SNU-423,909737,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-423,liver
COLO-783,COLO-783,1240125,Y,Y,Y,N,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-783,skin
KYSE-450,KYSE-450,907320,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-450,oesophagus
ES4,ES4,949156,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES4,bone
HCC-56,HCC-56,1290907,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,HCC-56,large_intestine
MEG-01,MEG-01,908126,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,MEG-01,haematopoietic_and_lymphoid_tissue
IPC-298,IPC-298,907171,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,IPC-298,skin
OVKATE,OVKATE,1240199,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVKATE,ovary
NCI-H1703,NCI-H1703,908474,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent,NCI-H1703,lung
SUP-M2,SUP-M2,1331040,Y,Y,Y,Y,Y,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension,SUP-M2,haematopoietic_and_lymphoid_tissue
NCI-H2052,NCI-H2052,688058,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,NCI-H2052,pleura
697,697,906800,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,,MSS/MSI-L,R,Suspension,697,haematopoietic_and_lymphoid_tissue
EW-18,EW-18,949164,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,EW-18,bone
KYSE-510,KYSE-510,907321,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-510,oesophagus
ML-1,ML-1,1240178,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,ML-1,haematopoietic_and_lymphoid_tissue
MDA-MB-453,MDA-MB-453,908122,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-453,breast
RCC-AB,RCC-AB,1524418,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-AB,kidney
NCI-H2227,NCI-H2227,688018,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,NCI-H2227,lung
LP-1,LP-1,907791,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,D/F12,Suspension,LP-1,haematopoietic_and_lymphoid_tissue
SNU-1040,SNU-1040,1659823,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,SNU-1040,large_intestine
LOXIMVI,LOXIMVI,905974,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Semi-Adherent,LOXIMVI,haematopoietic_and_lymphoid_tissue
A388,A388,910697,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent,A388,skin
A427,A427,910851,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,A427,lung
KU812,KU812,907311,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,KU812,haematopoietic_and_lymphoid_tissue
MG-63,MG-63,908131,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent,MG-63,bone
S-117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S-117,soft_tissue
RERF-GC-1B,RERF-GC-1B,1240209,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,RERF-GC-1B,stomach
NCI-H209,NCI-H209,688013,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H209,lung
NCI-H524,NCI-H524,908483,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H524,lung
SCCH-196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCCH-196,bone
HOS,HOS,907060,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent,HOS,bone
BB49-HNC,BB49-HNC,753532,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BB49-HNC,upper_aerodigestive_tract
K052,KO52,1330932,Y,Y,N,N,N,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,NA,K052,haematopoietic_and_lymphoid_tissue
M059K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M059K,central_nervous_system
SK-MES-1,SK-MES-1,909728,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,SK-MES-1,lung
RMG-I,RMG-I,909699,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent,RMG-I,ovary
NCI-H2291,NCI-H2291,724874,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2291,lung
NEC8,NEC8,910942,Y,Y,Y,Y,Y,urogenital_system,testis,,MSS/MSI-L,R,Adherent,NEC8,testis
BxPC-3,BxPC-3,906693,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,BxPC-3,pancreas
NCI-H28,NCI-H28,908470,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,NCI-H28,pleura
BEN,BEN,753534,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,BEN,lung
CCK-81,CCK-81,1240123,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,CCK-81,large_intestine
KCL-22,KCL-22,1330931,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSI-H,R,Suspension,KCL-22,haematopoietic_and_lymphoid_tissue
WM902B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WM902B,skin
BC-3,BC-3,910918,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,BC-3,haematopoietic_and_lymphoid_tissue
P3HR-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3HR-1,haematopoietic_and_lymphoid_tissue
Kasumi-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kasumi-3,haematopoietic_and_lymphoid_tissue
NCI-H128,NCI-H128,753597,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H128,lung
NCI-H2081,NCI-H2081,908480,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H2081,lung
NCI-H1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1926,lung
NCI-H2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2596,pleura
UDSCC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UDSCC2,upper_aerodigestive_tract
DV-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DV-90,lung
BC-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BC-2,haematopoietic_and_lymphoid_tissue
P116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P116,haematopoietic_and_lymphoid_tissue
MCC26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCC26,skin
Hs 939.T,Hs939-T,1298144,Y,Y,N,N,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Hs 939.T,skin
BL-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BL-70,haematopoietic_and_lymphoid_tissue
MCAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCAS,ovary
EW7476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW7476,bone
K4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K4,skin
TALL-1,TALL-1,909762,Y,Y,N,N,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,TALL-1,haematopoietic_and_lymphoid_tissue
